"ResourceType","SingularDisplayName","PluralDisplayName","LowerSingularDisplayName","LowerPluralDisplayName","IsPreview","Description","Icon","Links"
"microsoft.offazure/vmwaresites/vcenters","Microsoft.OffAzure vmware sites vcenter","Microsoft.OffAzure vmware sites vcenters","microsoft.offazure vmware sites vcenter","microsoft.offazure vmware sites vcenters","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.offazure/vmwaresites/vcenters.svg",""
"microsoft.offazurespringboot/springbootsites","Microsoft.OffAzureSpringBoot springbootsite","Microsoft.OffAzureSpringBoot springbootsites","microsoft.offazurespringboot springbootsite","microsoft.offazurespringboot springbootsites","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.offazurespringboot/springbootsites.svg",""
"microsoft.offazurespringboot/springbootsites/errorsummaries","Microsoft.OffAzureSpringBoot springbootsites error summary","Microsoft.OffAzureSpringBoot springbootsites error summaries","microsoft.offazurespringboot springbootsites error summary","microsoft.offazurespringboot springbootsites error summaries","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.offazurespringboot/springbootsites/errorsummaries.svg",""
"microsoft.offazurespringboot/springbootsites/springbootapps","Microsoft.OffAzureSpringBoot springbootsites springbootapp","Microsoft.OffAzureSpringBoot springbootsites springbootapps","microsoft.offazurespringboot springbootsites springbootapp","microsoft.offazurespringboot springbootsites springbootapps","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.offazurespringboot/springbootsites/springbootapps.svg",""
"microsoft.offazurespringboot/springbootsites/springbootservers","Microsoft.OffAzureSpringBoot springbootsites springbootserver","Microsoft.OffAzureSpringBoot springbootsites springbootservers","microsoft.offazurespringboot springbootsites springbootserver","microsoft.offazurespringboot springbootsites springbootservers","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.offazurespringboot/springbootsites/springbootservers.svg",""
"microsoft.offazurespringboot/springbootsites/summaries","Microsoft.OffAzureSpringBoot springbootsites summary","Microsoft.OffAzureSpringBoot springbootsites summaries","microsoft.offazurespringboot springbootsites summary","microsoft.offazurespringboot springbootsites summaries","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.offazurespringboot/springbootsites/summaries.svg",""
"microsoft.onlineexperimentation/workspaces","Online Experimentation Workspace","Online Experimentation Workspaces","online experimentation workspace","online experimentation workspaces","false","An online experiment workspace resource.","https://microsoft.github.io/finops-toolkit/svg/microsoft.onlineexperimentation/workspaces.svg","[{""title"":""Learn Online Experimentation"",""uri"":""https://aka.ms/exp/public/docs""}]"
"microsoft.openenergyplatform/energyservices","Azure Data Manager for Energy","Azure Data Manager for Energy","Azure Data Manager for Energy","Azure Data Manager for Energy","false","Consistent experiences across Azure enable users to leverage a few well-known and researched design patterns throughout Azure.","https://microsoft.github.io/finops-toolkit/svg/microsoft.openenergyplatform/energyservices.svg",""
"microsoft.openlogisticsplatform/workspaces","Microsoft.OpenLogisticsPlatform workspace","Microsoft.OpenLogisticsPlatform workspaces","microsoft.openlogisticsplatform workspace","microsoft.openlogisticsplatform workspaces","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.openlogisticsplatform/workspaces.svg",""
"microsoft.openlogisticsplatform/workspaces/applicationregistrations","Microsoft.OpenLogisticsPlatform workspaces application registration","Microsoft.OpenLogisticsPlatform workspaces application registrations","microsoft.openlogisticsplatform workspaces application registration","microsoft.openlogisticsplatform workspaces application registrations","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.openlogisticsplatform/workspaces/applicationregistrations.svg",""
"microsoft.openlogisticsplatform/workspaces/applications","Microsoft.OpenLogisticsPlatform workspaces application","Microsoft.OpenLogisticsPlatform workspaces applications","microsoft.openlogisticsplatform workspaces application","microsoft.openlogisticsplatform workspaces applications","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.openlogisticsplatform/workspaces/applications.svg",""
"microsoft.openlogisticsplatform/workspaces/eventgridfilters","Microsoft.OpenLogisticsPlatform workspaces event grid filter","Microsoft.OpenLogisticsPlatform workspaces event grid filters","microsoft.openlogisticsplatform workspaces event grid filter","microsoft.openlogisticsplatform workspaces event grid filters","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.openlogisticsplatform/workspaces/eventgridfilters.svg",""
"microsoft.openlogisticsplatform/workspaces/shares","Microsoft.OpenLogisticsPlatform workspaces share","Microsoft.OpenLogisticsPlatform workspaces shares","microsoft.openlogisticsplatform workspaces share","microsoft.openlogisticsplatform workspaces shares","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.openlogisticsplatform/workspaces/shares.svg",""
"microsoft.openlogisticsplatform/workspaces/sharesubscriptions","Microsoft.OpenLogisticsPlatform workspaces share subscription","Microsoft.OpenLogisticsPlatform workspaces share subscriptions","microsoft.openlogisticsplatform workspaces share subscription","microsoft.openlogisticsplatform workspaces share subscriptions","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.openlogisticsplatform/workspaces/sharesubscriptions.svg",""
"microsoft.operationalinsights/clusters","Log Analytics dedicated cluster","Log Analytics dedicated clusters","log analytics dedicated cluster","log analytics dedicated clusters","false","Dedicated cluster in Azure Monitor enables advanced security and control capabilities including Customer-managed keys, Lockbox, Availability zones, Ingest from Azure Event Hubs, and cost optimization. Linking and unlinking workspaces from cluster has no interruption to ingestion and query operations.","https://microsoft.github.io/finops-toolkit/svg/microsoft.operationalinsights/clusters.svg","[{""title"":""Learn more"",""uri"":""https://aka.ms/LogsDCluster""}]"
"microsoft.operationalinsights/querypacks","Log Analytics query pack","Log Analytics query packs","log analytics query pack","log analytics query packs","false","Azure Monitor Log Analytics query packs are used to hold and manage Log Analytics queries.","https://microsoft.github.io/finops-toolkit/svg/microsoft.operationalinsights/querypacks.svg","[{""title"":""Click this link to learn more."",""uri"":""https://go.microsoft.com/fwlink/?linkid=2142312""}]"
"microsoft.operationalinsights/workspaces","Log Analytics workspace","Log Analytics workspaces","log analytics workspace","log analytics workspaces","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.operationalinsights/workspaces.svg",""
"microsoft.operationsmanagement/managementassociations","Microsoft.OperationsManagement management association","Microsoft.OperationsManagement management associations","microsoft.operationsmanagement management association","microsoft.operationsmanagement management associations","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.operationsmanagement/managementassociations.svg",""
"microsoft.operationsmanagement/solutions","Solution","Solutions","solution","solutions","false","Create new Solution","https://microsoft.github.io/finops-toolkit/svg/microsoft.operationsmanagement/solutions.svg",""
"microsoft.operatorvoicemail/operatorvoicemailinstances","Microsoft.OperatorVoicemail operator voicemail instance","Microsoft.OperatorVoicemail operator voicemail instances","microsoft.operatorvoicemail operator voicemail instance","microsoft.operatorvoicemail operator voicemail instances","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.operatorvoicemail/operatorvoicemailinstances.svg",""
"microsoft.oraclediscovery/oraclesites","Microsoft.OracleDiscovery oracle site","Microsoft.OracleDiscovery oracle sites","microsoft.oraclediscovery oracle site","microsoft.oraclediscovery oracle sites","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.oraclediscovery/oraclesites.svg",""
"microsoft.oraclediscovery/oraclesites/errorsummaries","Microsoft.OracleDiscovery oracle sites error summary","Microsoft.OracleDiscovery oracle sites error summaries","microsoft.oraclediscovery oracle sites error summary","microsoft.oraclediscovery oracle sites error summaries","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.oraclediscovery/oraclesites/errorsummaries.svg",""
"microsoft.oraclediscovery/oraclesites/oracledatabases","Microsoft.OracleDiscovery oracle sites oracle database","Microsoft.OracleDiscovery oracle sites oracle databases","microsoft.oraclediscovery oracle sites oracle database","microsoft.oraclediscovery oracle sites oracle databases","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.oraclediscovery/oraclesites/oracledatabases.svg",""
"microsoft.oraclediscovery/oraclesites/oracleservers","Microsoft.OracleDiscovery oracle sites oracle server","Microsoft.OracleDiscovery oracle sites oracle servers","microsoft.oraclediscovery oracle sites oracle server","microsoft.oraclediscovery oracle sites oracle servers","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.oraclediscovery/oraclesites/oracleservers.svg",""
"microsoft.oraclediscovery/oraclesites/summaries","Microsoft.OracleDiscovery oracle sites summary","Microsoft.OracleDiscovery oracle sites summaries","microsoft.oraclediscovery oracle sites summary","microsoft.oraclediscovery oracle sites summaries","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.oraclediscovery/oraclesites/summaries.svg",""
"microsoft.orbital/cloudaccessrouters","Cloud Access Router","Cloud Access Routers","cloud access router","cloud access routers","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.orbital/cloudaccessrouters.svg",""
"microsoft.orbital/contactprofiles","Contact Profile","Contact Profiles","contact profile","contact profiles","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.orbital/contactprofiles.svg",""
"microsoft.orbital/edgesites","Edge Site","Edge Sites","edge site","edge sites","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.orbital/edgesites.svg",""
"microsoft.orbital/geocatalogs","GeoCatalog","GeoCatalogs","geocatalog","geocatalogs","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.orbital/geocatalogs.svg",""
"microsoft.orbital/globalcommunicationssites","Microsoft.Orbital global communications site","Microsoft.Orbital global communications sites","microsoft.orbital global communications site","microsoft.orbital global communications sites","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.orbital/globalcommunicationssites.svg",""
"microsoft.orbital/groundstations","Ground Station","Ground Stations","ground station","ground stations","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.orbital/groundstations.svg",""
"microsoft.orbital/l2connections","L2 Connection","L2 Connections","l2 connection","l2 connections","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.orbital/l2connections.svg",""
"microsoft.orbital/sdwancontrollers","SDWAN Controller","SDWAN Controllers","SDWAN controller","SDWAN controllers","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.orbital/sdwancontrollers.svg",""
"microsoft.orbital/spacecrafts","Spacecraft","Spacecrafts","spacecraft","spacecrafts","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.orbital/spacecrafts.svg",""
"microsoft.orbital/spacecrafts/contacts","Contact","Contacts","contact","contacts","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.orbital/spacecrafts/contacts.svg",""
"microsoft.orbital/terminals","Cloud Access Terminal","Cloud Access Terminals","cloud access terminal","cloud access terminals","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.orbital/terminals.svg",""
"microsoft.partnermanagedconsumerrecurrence/recurrences","Microsoft.PartnerManagedConsumerRecurrence recurrence","Microsoft.PartnerManagedConsumerRecurrence recurrences","microsoft.partnermanagedconsumerrecurrence recurrence","microsoft.partnermanagedconsumerrecurrence recurrences","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.partnermanagedconsumerrecurrence/recurrences.svg",""
"microsoft.partnermanagedconsumerrecurrence/recurrences/operationresult","Microsoft.PartnerManagedConsumerRecurrence recurrences operation result","Microsoft.PartnerManagedConsumerRecurrence recurrences operation result","microsoft.partnermanagedconsumerrecurrence recurrences operation result","microsoft.partnermanagedconsumerrecurrence recurrences operation result","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.partnermanagedconsumerrecurrence/recurrences/operationresult.svg",""
"microsoft.peering/peerasns","Microsoft.Peering peer asn","Microsoft.Peering peer asns","microsoft.peering peer asn","microsoft.peering peer asns","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.peering/peerasns.svg",""
"microsoft.peering/peerings","Peering","Peerings","peering","peerings","false","This page is meant for Internet Service Providers (ISP) and Internet Exchange Providers. Peering is the direct interconnection between Microsoft’s network (AS8075) and another network for the purpose of exchanging traffic between these networks.","https://microsoft.github.io/finops-toolkit/svg/microsoft.peering/peerings.svg","[{""title"":""Learn more"",""uri"":""https://docs.microsoft.com/azure/internet-peering/howto-subscription-association-portal""},{""title"":""PeeringDb"",""uri"":""https://peeringdb.com""},{""title"":""Microsoft's peering policy"",""uri"":""https://docs.microsoft.com/azure/internet-peering/policy""}]"
"microsoft.peering/peerings/registeredasns","Registered ASN","Registered ASNs","registered ASN","registered ASNs","false","The registered asn description","https://microsoft.github.io/finops-toolkit/svg/microsoft.peering/peerings/registeredasns.svg",""
"microsoft.peering/peerings/registeredprefixes","Registered prefix","Registered prefixes","registered prefix","registered prefixes","false","The registered prefix description","https://microsoft.github.io/finops-toolkit/svg/microsoft.peering/peerings/registeredprefixes.svg",""
"microsoft.peering/peeringservices","Peering Service","Peering Services","peering service","peering services","false","Microsoft Peering Service allows the monitoring of Internet performance between customer locations and Microsoft Network and for a selected list of Internet providers part of the program","https://microsoft.github.io/finops-toolkit/svg/microsoft.peering/peeringservices.svg","[{""title"":""Learn more"",""uri"":""https://go.microsoft.com/fwlink/?linkid=2110145""}]"
"microsoft.peering/peeringservices/prefixes","Peering Service Prefix","Peering Service Prefixes","peering service prefix","peering service prefixes","false","Consistent experiences across Azure enable users to leverage a few well-known and researched design patterns throughout Azure.","https://microsoft.github.io/finops-toolkit/svg/microsoft.peering/peeringservices/prefixes.svg",""
"microsoft.pki/pkis","Microsoft.Pki PKI","Microsoft.Pki pkis","microsoft.pki pki","microsoft.pki pkis","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.pki/pkis.svg",""
"microsoft.pki/pkis/certificateauthorities","Microsoft.Pki pkis certificate authority","Microsoft.Pki pkis certificate authorities","microsoft.pki pkis certificate authority","microsoft.pki pkis certificate authorities","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.pki/pkis/certificateauthorities.svg",""
"microsoft.pki/pkis/enrollmentpolicies","Microsoft.Pki pkis enrollment policy","Microsoft.Pki pkis enrollment policies","microsoft.pki pkis enrollment policy","microsoft.pki pkis enrollment policies","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.pki/pkis/enrollmentpolicies.svg",""
"microsoft.policyinsights/attestations","Microsoft.PolicyInsights attestation","Microsoft.PolicyInsights attestations","microsoft.policyinsights attestation","microsoft.policyinsights attestations","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.policyinsights/attestations.svg",""
"microsoft.policyinsights/policymetadata","Microsoft.PolicyInsights policy metadata","Microsoft.PolicyInsights policy metadata","microsoft.policyinsights policy metadata","microsoft.policyinsights policy metadata","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.policyinsights/policymetadata.svg",""
"microsoft.policyinsights/remediations","Microsoft.PolicyInsights remediation","Microsoft.PolicyInsights remediations","microsoft.policyinsights remediation","microsoft.policyinsights remediations","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.policyinsights/remediations.svg",""
"microsoft.portal/consoles","Microsoft.Portal console","Microsoft.Portal consoles","microsoft.portal console","microsoft.portal consoles","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.portal/consoles.svg",""
"microsoft.portal/dashboards","Shared dashboard","Shared dashboards","shared dashboard","shared dashboards","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.portal/dashboards.svg",""
"microsoft.portal/tenantconfigurations","Microsoft.Portal tenant configuration","Microsoft.Portal tenant configurations","microsoft.portal tenant configuration","microsoft.portal tenant configurations","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.portal/tenantconfigurations.svg",""
"microsoft.portal/usersettings","Microsoft.Portal user setting","Microsoft.Portal user settings","microsoft.portal user setting","microsoft.portal user settings","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.portal/usersettings.svg",""
"microsoft.portal/virtual-privatedashboards","Private dashboard","Private dashboards","private dashboard","private dashboards","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.portal/virtual-privatedashboards.svg",""
"microsoft.portalservices/copilotsettings","Microsoft.PortalServices copilot setting","Microsoft.PortalServices copilot settings","microsoft.portalservices copilot setting","microsoft.portalservices copilot settings","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.portalservices/copilotsettings.svg",""
"microsoft.portalservices/dashboards","Shared dashboard","Shared dashboards","shared dashboard","shared dashboards","true","","https://microsoft.github.io/finops-toolkit/svg/microsoft.portalservices/dashboards.svg",""
"microsoft.portalservices/extensions","Portal Extension","Portal Extensions","portal extension","portal extensions","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.portalservices/extensions.svg",""
"microsoft.portalservices/extensions/deployments","Extension Deployment","Extension Deployments","extension deployment","extension deployments","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.portalservices/extensions/deployments.svg",""
"microsoft.portalservices/extensions/slots","Extension Slot","Extension Slots","extension slot","extension slots","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.portalservices/extensions/slots.svg",""
"microsoft.portalservices/extensions/versions","Extension Version","Extension Versions","extension version","extension versions","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.portalservices/extensions/versions.svg",""
"microsoft.portalservices/settings","Microsoft.PortalServices setting","Microsoft.PortalServices settings","microsoft.portalservices setting","microsoft.portalservices settings","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.portalservices/settings.svg",""
"microsoft.powerbi/privatelinkservicesforpowerbi","Microsoft.PowerBI private link services for power bi","Microsoft.PowerBI private link services for power bi","microsoft.powerbi private link services for power bi","microsoft.powerbi private link services for power bi","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.powerbi/privatelinkservicesforpowerbi.svg",""
"microsoft.powerbi/privatelinkservicesforpowerbi/privateendpointconnections","Microsoft.PowerBI private link services for power bi private endpoint connection","Microsoft.PowerBI private link services for power bi private endpoint connections","microsoft.powerbi private link services for power bi private endpoint connection","microsoft.powerbi private link services for power bi private endpoint connections","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.powerbi/privatelinkservicesforpowerbi/privateendpointconnections.svg",""
"microsoft.powerbi/privatelinkservicesforpowerbi/privatelinkresources","Microsoft.PowerBI private link services for power bi private link resource","Microsoft.PowerBI private link services for power bi private link resources","microsoft.powerbi private link services for power bi private link resource","microsoft.powerbi private link services for power bi private link resources","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.powerbi/privatelinkservicesforpowerbi/privatelinkresources.svg",""
"microsoft.powerbi/workspacecollections","Microsoft.PowerBI workspace collection","Microsoft.PowerBI workspace collections","microsoft.powerbi workspace collection","microsoft.powerbi workspace collections","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.powerbi/workspacecollections.svg",""
"microsoft.powerbidedicated/autoscalevcores","Microsoft.PowerBIDedicated auto scale vcore","Microsoft.PowerBIDedicated auto scale vcores","microsoft.powerbidedicated auto scale vcore","microsoft.powerbidedicated auto scale vcores","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.powerbidedicated/autoscalevcores.svg",""
"microsoft.powerbidedicated/capacities","Power BI Embedded","Power BI Embedded","Power BI Embedded","Power BI Embedded","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.powerbidedicated/capacities.svg","[{""title"":""Learn more about Power BI Embedded"",""uri"":""https://go.microsoft.com/fwlink/?linkid=2281087""}]"
"microsoft.powerplatform/accounts","Microsoft.PowerPlatform account","Microsoft.PowerPlatform accounts","microsoft.powerplatform account","microsoft.powerplatform accounts","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.powerplatform/accounts.svg",""
"microsoft.premonition/libraries","Microsoft.Premonition library","Microsoft.Premonition libraries","microsoft.premonition library","microsoft.premonition libraries","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.premonition/libraries.svg",""
"microsoft.premonition/libraries/analyses","Microsoft.Premonition libraries analyse","Microsoft.Premonition libraries analyses","microsoft.premonition libraries analyse","microsoft.premonition libraries analyses","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.premonition/libraries/analyses.svg",""
"microsoft.premonition/libraries/samples","Microsoft.Premonition libraries sample","Microsoft.Premonition libraries samples","microsoft.premonition libraries sample","microsoft.premonition libraries samples","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.premonition/libraries/samples.svg",""
"microsoft.professionalservice/resources","Professional Service","Professional Services","professional service","professional services","false","Professional service","https://microsoft.github.io/finops-toolkit/svg/microsoft.professionalservice/resources.svg",""
"microsoft.programmableconnectivity/gateways","APC Gateway","APC Gateways","apc gateway","apc gateways","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.programmableconnectivity/gateways.svg",""
"microsoft.programmableconnectivity/operatorapiconnections","APC Operator API Connection","APC Operator API Connections","apc operator api connection","apc operator api connections","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.programmableconnectivity/operatorapiconnections.svg",""
"microsoft.programmableconnectivity/operatorapiplans","APC Operator API Plan","APC Operator API Plans","apc operator api plan","apc operator api plans","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.programmableconnectivity/operatorapiplans.svg",""
"microsoft.proposal/proposals","Microsoft.Proposal proposal","Microsoft.Proposal proposals","microsoft.proposal proposal","microsoft.proposal proposals","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.proposal/proposals.svg",""
"microsoft.providerhub/providerregistrations","Resource Provider as a Service","Resource Providers","resource provider as a service","resource providers","false","Create a fully-integrated Azure service with Resource Provider as a Service","https://microsoft.github.io/finops-toolkit/svg/microsoft.providerhub/providerregistrations.svg",""
"microsoft.providerhub/providerregistrations/customrollouts","Rollout","Rollouts","rollout","rollouts","false","Azure resource provider enables you to deliver your service functionality as native Azure resources in the Azure Control Plane. Deliver them to your organization or release globally and monetize as a part of a new Azure service​.","https://microsoft.github.io/finops-toolkit/svg/microsoft.providerhub/providerregistrations/customrollouts.svg",""
"microsoft.providerhub/providerregistrations/defaultrollouts","Rollout","Rollouts","rollout","rollouts","false","Azure resource provider enables you to deliver your service functionality as native Azure resources in the Azure Control Plane. Deliver them to your organization or release globally and monetize as a part of a new Azure service​.","https://microsoft.github.io/finops-toolkit/svg/microsoft.providerhub/providerregistrations/defaultrollouts.svg",""
"microsoft.providerhub/providerregistrations/resourcetyperegistrations","Resource Type","Resource Types","resource type","resource types","false","Create resource type to define the business logic by specifying how you’d like your service to respond to API calls to your Swagger. You can select from common quickstart models or customize it from a blank model.","https://microsoft.github.io/finops-toolkit/svg/microsoft.providerhub/providerregistrations/resourcetyperegistrations.svg",""
"microsoft.providerhub/providerregistrations/resourcetyperegistrations/resourcetyperegistrations","Resource Type","Resource Types","resource type","resource types","false","Create resource type to define the business logic by specifying how you’d like your service to respond to API calls to your Swagger. You can select from common quickstart models or customize it from a blank model.","https://microsoft.github.io/finops-toolkit/svg/microsoft.providerhub/providerregistrations/resourcetyperegistrations/resourcetyperegistrations.svg",""
"microsoft.providerhubdevtest/regionalstresstests","Microsoft.ProviderHubDevTest regional stresstest","Microsoft.ProviderHubDevTest regional stresstests","microsoft.providerhubdevtest regional stresstest","microsoft.providerhubdevtest regional stresstests","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.providerhubdevtest/regionalstresstests.svg",""
"microsoft.providerhubdevtest/stresstests","Microsoft.ProviderHubDevTest stresstest","Microsoft.ProviderHubDevTest stresstests","microsoft.providerhubdevtest stresstest","microsoft.providerhubdevtest stresstests","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.providerhubdevtest/stresstests.svg",""
"microsoft.purview/accounts","Microsoft Purview account","Microsoft Purview accounts","Microsoft Purview account","Microsoft Purview accounts","false","Maximize the business value of data with Microsoft Purview, a unified data governance solution.","https://microsoft.github.io/finops-toolkit/svg/microsoft.purview/accounts.svg",""
"microsoft.quantum/provideraccounts","Microsoft.Quantum provider account","Microsoft.Quantum provider accounts","microsoft.quantum provider account","microsoft.quantum provider accounts","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.quantum/provideraccounts.svg",""
"microsoft.quantum/workspaces","Quantum Workspace","Quantum Workspaces","a quantum workspace","quantum workspaces","false","Create a quantum workspace to access diverse quantum resources today. Try now with free credits.","https://microsoft.github.io/finops-toolkit/svg/microsoft.quantum/workspaces.svg","[{""title"":""Learn more"",""uri"":""https://docs.microsoft.com/azure/quantum/how-to-create-quantum-workspaces-with-the-azure-portal#create-an-azure-quantum-workspace""}]"
"microsoft.quota/groupquotas","Microsoft.Quota group quota","Microsoft.Quota group quotas","microsoft.quota group quota","microsoft.quota group quotas","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.quota/groupquotas.svg",""
"microsoft.quota/groupquotas/groupquotarequests","Microsoft.Quota group quotas group quota request","Microsoft.Quota group quotas group quota requests","microsoft.quota group quotas group quota request","microsoft.quota group quotas group quota requests","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.quota/groupquotas/groupquotarequests.svg",""
"microsoft.quota/groupquotas/quotaallocationrequests","Microsoft.Quota group quotas quota allocation request","Microsoft.Quota group quotas quota allocation requests","microsoft.quota group quotas quota allocation request","microsoft.quota group quotas quota allocation requests","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.quota/groupquotas/quotaallocationrequests.svg",""
"microsoft.quota/groupquotas/quotaallocations","Microsoft.Quota group quotas quota allocation","Microsoft.Quota group quotas quota allocations","microsoft.quota group quotas quota allocation","microsoft.quota group quotas quota allocations","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.quota/groupquotas/quotaallocations.svg",""
"microsoft.quota/groupquotas/subscriptionrequests","Microsoft.Quota group quotas subscription request","Microsoft.Quota group quotas subscription requests","microsoft.quota group quotas subscription request","microsoft.quota group quotas subscription requests","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.quota/groupquotas/subscriptionrequests.svg",""
"microsoft.quota/groupquotas/subscriptions","Microsoft.Quota group quotas subscription","Microsoft.Quota group quotas subscriptions","microsoft.quota group quotas subscription","microsoft.quota group quotas subscriptions","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.quota/groupquotas/subscriptions.svg",""
"microsoft.quota/quotarequests","Microsoft.Quota quota request","Microsoft.Quota quota requests","microsoft.quota quota request","microsoft.quota quota requests","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.quota/quotarequests.svg",""
"microsoft.quota/quotas","Microsoft.Quota quota","Microsoft.Quota quotas","microsoft.quota quota","microsoft.quota quotas","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.quota/quotas.svg",""
"microsoft.quota/usages","Microsoft.Quota usage","Microsoft.Quota usages","microsoft.quota usage","microsoft.quota usages","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.quota/usages.svg",""
"microsoft.recommendationsservice/accounts","Intelligent Recommendations Account","Intelligent Recommendations Accounts","intelligent recommendations account","intelligent recommendations accounts","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.recommendationsservice/accounts.svg",""
"microsoft.recommendationsservice/accounts/modeling","Modeling","Modeling","modeling","modeling","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.recommendationsservice/accounts/modeling.svg",""
"microsoft.recommendationsservice/accounts/serviceendpoints","Service Endpoint","Service Endpoints","service endpoint","service endpoints","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.recommendationsservice/accounts/serviceendpoints.svg",""
"microsoft.recoveryservices/replicationeligibilityresults","Microsoft.RecoveryServices replication eligibility result","Microsoft.RecoveryServices replication eligibility results","microsoft.recoveryservices replication eligibility result","microsoft.recoveryservices replication eligibility results","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.recoveryservices/replicationeligibilityresults.svg",""
"microsoft.recoveryservices/vaults","Recovery Services vault","Recovery Services vaults","recovery services vault","recovery services vaults","false","A disaster recovery and data protection strategy keeps your business running when unexpected events occur. Get started by creating a Recovery Services vault.","https://microsoft.github.io/finops-toolkit/svg/microsoft.recoveryservices/vaults.svg","[{""title"":""Learn more about Backup"",""uri"":""http://aka.ms/backup-learn-more""},{""title"":""Learn more about Site Recovery"",""uri"":""http://aka.ms/asr-learn-more""}]"
